topic_id,top_terms,top_bylines,label
0,sick pay deforestation discrimination religious faith bill amazon queen european casual christian name crisis democratic,Private Media|The Wilderness Society|Comms Declare Inc|Rebecca Connell|Greenpeace Australia Pacific,
1,donate donation provide water crisis food support ukraine emergency give please cats care river appeal,Australia for UNHCR|Médecins Sans Frontières Australia|Oxfam Australia|Invasive Species Council|CARE Australia,
2,early learning childcare families petition sign parents children affordable every accessible fair family high quality,Thrive By Five|TWU Members First Team|Victorian Forest Alliance|Hunter Jobs Alliance|School for Life Foundation,
3,live mayor program city level book car sign government fodi22 sept 15 lord multipack festival,Festival of Dangerous Ideas|Greenpeace Australia Pacific|Private Media|Ashlan Rose Waldock|Luba Grigorovitch ALP Candidate for Kororoit,
4,morrison scott ben government cuts week court wa good van minimum emissions going vote minister,Private Media|Benjamin John Davison|Australian Education Union Tasmania|Environmental Defenders Office|It's Not A Race,
5,government sign reef climate action petition hunger children support stop crisis great families facing protect,Oxfam Australia|Greenpeace Australia Pacific|Save the Children Australia|Thrive By Five|Invasive Species Council,
6,ward labor government home andrews council local candidate north support first free councillor residents salisbury,Amnesty International Australia|Parliament House of Cards Pty Ltd|Gordon Rich-Phillips MLC|Save the Children Australia|Wesa Chau for Prahran,
7,quiz rights every minute human support public right first campaign day education school means schools,Amnesty International Australia|School for Life Foundation|Australian Education Union|Australian Education Union Victorian Branch|Médecins Sans Frontières Australia,
8,community local government state council school climate health future change day support want many million,Prime Super|Jackson Taylor MP|Greenfleet|The Australian Institute of Architects|Private Media,
9,women children violence ukraine kids support world festival sign young lives challenge homes safety every,Amnesty International Australia|ActionAid Australia|Genus Earth Pty Ltd|Australia for UNHCR|Festival of Dangerous Ideas,
10,climate action vote party change community liberal support government crisis election free labor future political,Climate 200|The Climate Council|St Vincent de Paul Society in Australia|Private Media|Australian Conservation Foundation,
11,sign enough woodside tell gas women climate fossil share project big fuel takes stop rights,Greenpeace Australia Pacific|UN Women Australia|Oxfam Australia|Australian Conservation Foundation|The Wilderness Society,
12,watch human interview world hobart condition science free breakthrough important city griffith jeremy completely council,World Transformation Movement|The Wilderness Society|Private Media|Louise Anne Bloomfield|DocPlay,
13,sign woodside gas plastic stop use whales share project single petition tell urgent waste protect,Greenpeace Australia Pacific|Australian Conservation Foundation|National Retail Association|Bank Australia|Environmental Defenders Office,
14,mp agl laws educators sign government strong petition childhood coal vote early tafe environment support,Greenpeace Australia Pacific|Australian Conservation Foundation|Thrive By Five|Goods International Pty Ltd|Danny Pearson MP for Essendon,
15,women council nsw community city support committee join armenian world former government state parliament abuse,Private Media|The Australian Institute of Architects|Armenian National Committee of Australia|Parliament of Victoria|Kelly Marie Sims,
16,abc sign petition election product independent super australians candidates save vaccine animal join choice show,ABC Friends|Australian Ethical Investment|Animals Australia|Advance Australia|James Oliver Gibson,
17,sign petition oceans ocean demand global treaty share protect world heard better governments women act,Greenpeace Australia Pacific|Australian Automobile Association|Australian Conservation Foundation|ActionAid Australia|Oxfam Australia,
18,support parliament voice melbourne action climate join family coffee day australians campaign refugees indigenous first,NATIONAL ZAKAT FOUNDATION INCORPORATED|Asylum Seeker Resource Centre (ASRC)|Rebecca M Thistleton|Private Media|Stand4Uyghurs,
19,life christmas community work family free support night event health gift care local young join,Wayside Chapel|Amnesty International Australia|Australian Federation of Islamic Councils|The Wilderness Society|Private Media,
20,vote care election workers aged council voting government change union business work better nsw join,Private Media|United Workers Union|Climate 200|Australian Unions|Victorian Electoral Commission,
21,protect wildlife nature native government habitat species climate feral world donate save tax tech wrc,Greenfleet|The Wilderness Society|Solutions for Australia|Invasive Species Council|Australian Conservation Foundation,
22,child change climate future medicines cost health donate life government support end every prescription girls,The Pharmacy Guild of Australia|Asylum Seeker Resource Centre (ASRC)|Australia for UNHCR|Save the Children Australia|Greenpeace Australia Pacific,
23,energy power solar renewable labor electricity government jobs coal bills zero wind survey clean election,Solutions for Australia|Rebecca M Thistleton|The Clean Energy Council|Advance Australia|BPH ENERGY LTD,
24,police electricity anti 19 covid sign switching future corruption adam skills hit climate industries government,Greenpeace Australia Pacific|Private Media|Amnesty International Australia|Climate 200|Festival of Dangerous Ideas,
